sample_name	altitude_m	anonymized_name	area_sampled	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	name_location	other_sampling_notes	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	substrate_sampled	title
662.M17	0.0	M17	tidepool	2009-08-06	GAZ:United States of America	0	0	Mytlius californianus gill tissue M17	TRUE	24.73	24.73	True	EMP sample	Host-associated	Animal	Animal corpus	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Bivalvia	California mussel	f__Mytilidae	g__Mytilus	k__Metazoa	o__Mytiloida	p__Mollusca	Mytilus californianus	s__Mytilus_californianus	M17	sk__Eukaryota	6549	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	gill tissue	ANL	FALSE	TRUE	Host-associated	Animal	Animal corpus	662	organismal metagenomes	410656	gill tissue	biofilm metagenome	Mytilus californianus gill	Intertidal microbes 16s for 2009 and 2027
662.M18	0.0	M18	tidepool	2009-08-06	GAZ:United States of America	0	0	Mytlius californianus siphon tissue M18	TRUE	24.73	24.73	True	EMP sample	Host-associated	Animal	Animal corpus	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	c__Bivalvia	California mussel	f__Mytilidae	g__Mytilus	k__Metazoa	o__Mytiloida	p__Mollusca	Mytilus californianus	s__Mytilus_californianus	M18	sk__Eukaryota	6549	48.38	48.38	-124.73	-124.73	Tatoosh, Main Beach	siphon tissue	ANL	FALSE	TRUE	Host-associated	Animal	Animal corpus	662	organismal metagenomes	410656	siphon tissue	biofilm metagenome	Mytilus californianus siphon	Intertidal microbes 16s for 2009 and 2028
662.M19	0.0	M19	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M19	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M19	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool33	biofilm	ANL	FALSE	TRUE				662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2029
662.M2	0.0	M2	rocky intertidal	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M2	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M2	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2011
662.M20	0.0	M20	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M20	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M20	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool40	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2030
662.M21	0.0	M21	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M21	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M21	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool9	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2031
662.M22	0.0	M22	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M22	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M22	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool10	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2032
662.M23	0.0	M23	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M23	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M23	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool11	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2033
662.M24	0.0	M24	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M24	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M24	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool12	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2034
662.M25	0.0	M25	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M25	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M25	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool13	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2035
662.M26	0.0	M26	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M26	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M26	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool17	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2036
662.M27	0.0	M27	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M27	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M27	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool18	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2037
662.M28	0.0	M28	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M28	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M28	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool22	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2038
662.M29	0.0	M29	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M29	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M29	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool23	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2039
662.M3	0.0	M3	tidepool	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M3	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M3	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2012
662.M30	0.0	M30	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M30	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M30	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool32	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2040
662.M31	0.0	M31	tidepool	2010-08-21	GAZ:United States of America	0	0	biofilm extracted from cover slip M31	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M31	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool35	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	cover slip	Intertidal microbes 16s for 2009 and 2041
662.M32	0.0	M32	coastal seawater	2009-08-24	GAZ:United States of America	0	0	plankton filtered from coastal seawater M32	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Water (saline)	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M32	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach	plankton	ANL	FALSE	TRUE	Free-living	Saline	Water (saline)	662	marine metagenome	408172	plankton	biofilm metagenome	25 mm gf/f filter	Intertidal microbes 16s for 2009 and 2042
662.M33	0.0	M33	coastal seawater	2009-08-24	GAZ:United States of America	0	0	plankton filtered from coastal seawater M33	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Water (saline)	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M33	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach	plankton	ANL	FALSE	TRUE	Free-living	Saline	Water (saline)	662	marine metagenome	408172	plankton	biofilm metagenome	25 mm gf/f filter	Intertidal microbes 16s for 2009 and 2043
662.M34	0.0	M34	coastal seawater	2009-08-24	GAZ:United States of America	0	0	plankton filtered from coastal seawater M34	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Water (saline)	marine biome	organism-associated habitat	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M34	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach	plankton	ANL	FALSE	TRUE	Free-living	Saline	Water (saline)	662	marine metagenome	408172	plankton	biofilm metagenome	25 mm gf/f filter	Intertidal microbes 16s for 2009 and 2044
662.M35	0.0	M35	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M35	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M35	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool9	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2045
662.M36	0.0	M36	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M36	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M36	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool10	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2046
662.M37	0.0	M37	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M37	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M37	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool11	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2047
662.M38	0.0	M38	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M38	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M38	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool12	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2048
662.M39	0.0	M39	tidepool	2009-08-24	GAZ:United States of America	0	0	biofilm brushed from rock M39	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M39	Not applicable	Not applicable	48.36	48.36	-124.57	-124.57	Second Beach, Pool13	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	rock	Intertidal microbes 16s for 2009 and 2049
662.M4	0.0	M4	rocky intertidal	2009-08-06	GAZ:United States of America	0	0	biofilm brushed from crucible lid M4	TRUE	24.73	24.73	True	EMP sample	Free-living	Saline	Surface (saline)	marine biome	intertidal zone	biofilm	microbial mat/biofilm	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:WA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	M4	Not applicable	Not applicable	48.38	48.38	-124.73	-124.73	Tatoosh, Finger	biofilm	ANL	FALSE	TRUE	Free-living	Saline	Surface (saline)	662	biofilm metagenome	718308	biofilm	biofilm metagenome	glass crucible lid	Intertidal microbes 16s for 2009 and 2013
