sample_name	age	age_unit	altitude	altitude_m	anonymized_name	ave_group_size	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	dist_nearest_neighbor	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	gut_physiology	height_or_length	height_or_length_unit	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	location	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title	tot_mass	tot_mass_unit
963.Iguana.154.061011.BOH.vial.921	Missing: Not provided	years	0	0.0	Iguana-154_061011_BOH_vial-921	2	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-10	GAZ:Panama	0	0	gut metagenome Iguana-154	herbivore	1	TRUE	42	42	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	80	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-154	sk__Eukaryota	8517	9.19	9.19	Barro Colorado Nature Monument	-79.841	-79.841	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	17	g
963.Iguana.156.052511.SUR.vial.755	Missing: Not provided	years	0	0.0	Iguana-156_052511_SUR_vial-755	2	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-25	GAZ:Panama	0	0	gut metagenome Iguana-156	herbivore	0.5	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	74.5	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-156	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	11.7	g
963.Iguana.158.052511.SUR.vial.792	Missing: Not provided	years	0	0.0	Iguana-158_052511_SUR_vial-792	3	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-25	GAZ:Panama	0	0	gut metagenome Iguana-158	herbivore	0.5	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	75	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-158	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	13.4	g
963.Iguana.159.052511.SUR.vial.793	Missing: Not provided	years	0	0.0	Iguana-159_052511_SUR_vial-793	6	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-25	GAZ:Panama	0	0	gut metagenome Iguana-159	herbivore	2.5	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	74	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-159	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	12.5	g
963.Iguana.161.052511.SUR.vial.762	Missing: Not provided	years	0	0.0	Iguana-161_052511_SUR_vial-762	3	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-25	GAZ:Panama	0	0	gut metagenome Iguana-161	herbivore	0.05	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	70	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-161	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE				963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	10.75	g
963.Iguana.162.061111.BOH.vial.981	Missing: Not provided	years	0	0.0	Iguana-162_061111_BOH_vial-981	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-11	GAZ:Panama	0	0	gut metagenome Iguana-162	herbivore	Missing: Not provided	TRUE	51	51	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	78	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-162	sk__Eukaryota	8517	9.194	9.194	Barro Colorado Nature Monument	-79.844	-79.844	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	12.75	g
963.Iguana.164.052711.GAM.vial.763	Missing: Not provided	years	0	0.0	Iguana-164_052711_GAM_vial-763	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-27	GAZ:Panama	0	0	gut metagenome Iguana-164	herbivore	Missing: Not provided	TRUE	39	39	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Gamboa	hind gut fermenter	76	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-164	sk__Eukaryota	8517	9.12	9.12	Gamboa	-79.702	-79.702	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	14	g
963.Iguana.167.052811.SUR.vial.795	Missing: Not provided	years	0	0.0	Iguana-167_052811_SUR_vial-795	3	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-28	GAZ:Panama	0	0	gut metagenome Iguana-167	herbivore	0.15	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	74	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-167	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	11.5	g
963.Iguana.168.052811.SUR.vial.800	Missing: Not provided	years	0	0.0	Iguana-168_052811_SUR_vial-800	2	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-28	GAZ:Panama	0	0	gut metagenome Iguana-168	herbivore	0	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	68	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-168	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	8.75	g
963.Iguana.178.052911.LAB.vial.813	Missing: Not provided	years	0	0.0	Iguana-178_052911_LAB_vial-813	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-05-29	GAZ:Panama	0	0	gut metagenome Iguana-178	herbivore	Missing: Not provided	TRUE	36	36	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	71	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-178	sk__Eukaryota	8517	9.165	9.165	Barro Colorado Island	-79.836	-79.836	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	11.5	g
963.Iguana.18.051710.BCO.vial.69	Missing: Not provided	years	0	0.0	Iguana-18_051710_BCO_vial-69	1	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-17	GAZ:Panama	0	0	gut metagenome Iguana-18	herbivore	Missing: Not provided	TRUE	57	57	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	72	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-18	sk__Eukaryota	8517	9.162	9.162	Barro Colorado Island	-79.829	-79.829	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	13.2	g
963.Iguana.18.052110.BCO.vial.83	Missing: Not provided	years	0	0.0	Iguana-18_052110_BCO_vial-83	1	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-21	GAZ:Panama	0	0	gut metagenome Iguana-18	herbivore	Missing: Not provided	TRUE	57	57	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	71	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-18	sk__Eukaryota	8517	9.162	9.162	Barro Colorado Island	-79.829	-79.829	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	Missing: Not provided	g
963.Iguana.18.052810.BCO.vial.116	Missing: Not provided	years	0	0.0	Iguana-18_052810_BCO_vial-116	2.333333	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-28	GAZ:Panama	0	0	gut metagenome Iguana-18	herbivore	1	TRUE	57	57	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	74	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-18	sk__Eukaryota	8517	9.162	9.162	Barro Colorado Island	-79.829	-79.829	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	25.1	g
963.Iguana.18.061710.BCO.vial.293	Missing: Not provided	years	0	0.0	Iguana-18_061710_BCO_vial-293	2.333333	UBERON:feces	UBERON:feces	UBERON:feces	2010-06-17	GAZ:Panama	0	0	gut metagenome Iguana-18	herbivore	2.5	TRUE	57	57	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	75	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-18	sk__Eukaryota	8517	9.162	9.162	Barro Colorado Island	-79.829	-79.829	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	17.8	g
963.Iguana.182.060111.SUR.vial.811	Missing: Not provided	years	0	0.0	Iguana-182_060111_SUR_vial-811	1	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-01	GAZ:Panama	0	0	gut metagenome Iguana-182	herbivore	Missing: Not provided	TRUE	40	40	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	70	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-182	sk__Eukaryota	8517	9.187	9.187	Barro Colorado Nature Monument	-79.843	-79.843	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	12.9	g
963.Iguana.19.052510.LAB.vial.91	Missing: Not provided	years	0	0.0	Iguana-19_052510_LAB_vial-91	2	UBERON:feces	UBERON:feces	UBERON:feces	2010-05-25	GAZ:Panama	0	0	gut metagenome Iguana-19	herbivore	1	TRUE	49	49	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Island	hind gut fermenter	73.5	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-19	sk__Eukaryota	8517	9.163	9.163	Barro Colorado Island	-79.836	-79.836	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	14.2	g
963.Iguana.192.060511.BOH.vial.810	Missing: Not provided	years	0	0.0	Iguana-192_060511_BOH_vial-810	5	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-05	GAZ:Panama	0	0	gut metagenome Iguana-192	herbivore	0	TRUE	34	34	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	TRUE	Panama:Barro Colorado Nature Monument	hind gut fermenter	82	mm	c__	common iguana	f__Iguanidae	g__Iguana	k__Metazoa	o__Squamata	p__Chordata	Iguana iguana	s__Iguana_iguana	Iguana-192	sk__Eukaryota	8517	9.191	9.191	Barro Colorado Nature Monument	-79.846	-79.846	California State University, Northridge	TRUE	TRUE	Host-associated	Animal	Animal distal gut	963	gut metagenome	749906	stool	gut metagenome	Missing: Not provided	Green Iguana hindgut microbiome	17.5	g
