sample_name	altitude_m	anonymized_name	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	light_kilolux_7days	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	taxon_id	temp	temperature_deg_c	title
933.BuI	0.0	UNSW0347	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0347	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BuJ	0.0	UNSW0348	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0348	sk__Eukaryota	40385	-33.991889	-33.991889	Missing: Not provided	151.231	151.231	UNSW	TRUE	TRUE				933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BuN	0.0	UNSW0368	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0368	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.BuP	0.0	UNSW0369	2008-02-12	GAZ:Australia	8.9	8.9	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0369	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.26	22.26	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.Lb226	0.0	UNSW0365	2009-02-27	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0365	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LbF	0.0	UNSW0363	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0363	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LbG	0.0	UNSW0364	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0364	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LbH	0.0	UNSW0361	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0361	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LbI	0.0	UNSW0362	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of bleached Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0362	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.Lu225	0.0	UNSW0355	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0355	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.Lu229	0.0	UNSW0354	2009-02-27	GAZ:Australia	9.1	9.1	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0354	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LuA	0.0	UNSW0352	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0352	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LuD	0.0	UNSW0353	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0353	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.LuE	0.0	UNSW0351	2008-02-12	GAZ:Australia	9.1	9.1	DNA from surface of healthy Delisea pulchra algae	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__Florideophyceae	Not applicable	f__Bonnemaisoniaceae	g__Delisea	k__	o__Bonnemaisoniales	p__	Delisea pulchra	s__Delisea_pulchra	UNSW0351	sk__Eukaryota	40385	-33.966608	-33.966608	Missing: Not provided	151.257253	151.257253	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	biofilm	algae metagenome	1300146	22.16	22.16	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.H.E.1	0.0	UNSW0001	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0001	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.H.E.2	0.0	UNSW0002	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0002	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE				933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.H.E.3	0.0	UNSW0003	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0003	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.H.E.4	0.0	UNSW0004	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0004	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.H.E.5	0.0	UNSW0005	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0005	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.S.E.1	0.0	UNSW0006	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0006	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE				933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.S.E.2	0.0	UNSW0007	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0007	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.S.E.3	0.0	UNSW0008	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0008	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.S.E.4	0.0	UNSW0009	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0009	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
933.N.1.1.S.E.5	0.0	UNSW0010	2011-04-12	GAZ:Australia	9.8	9.8	DNA from surface swab of Ecklonia radiata kelp	TRUE	0	0	True	EMP sample	Host-associated	Plant	Plant surface	marine biome	kelp forest	biofilm	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	Australia	c__	Not applicable	f__Lessoniaceae	g__Ecklonia	k__	o__Laminariales	p__Phaeophyceae	Ecklonia radiata	s__Ecklonia_radiata	UNSW0010	sk__Eukaryota	309355	-33.9998	-33.9998	530.508	151.2467167	151.2467167	UNSW	TRUE	TRUE	Host-associated	Plant	Plant surface	933	biofilm metagenome	718308	kelp mucus	algae metagenome	1300146	22	22.0	Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography
