sample_name	alga	altitude	altitude_m	anonymized_name	collection_timestamp	coral_species	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_common_name	host_subject_id	host_taxid	island	latitude	latitude_deg	longitude	longitude_deg	perturbation	physical_location_2	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	replicate	sample_scientific_name	sample_taxid	sample_type	scientific_name	site	title	zone
910.AcrTA2		0	0.0	AcrTA2	2011-07-20	Acropora sp.	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrTA2	6127	Moorea	17.29588	17.29588	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.AcrTA3		0	0.0	AcrTA3	2011-07-20	Acropora sp.	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrTA3	6127	Moorea	17.29588	17.29588	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.AcrTA4		0	0.0	AcrTA4	2011-07-20	Acropora sp.	GAZ:French Polynesia	2	2	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	French Polynesia	staghorn corals	AcrTA4	6127	Moorea	17.29588	17.29588	-149.452746	-149.452746	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	4	coral metagenome	496922	Coral	coral metagenome	Tamae	Viral communities associated with algal/coral interactions	
910.CuracaoCCA1A	CCA	0	0.0	CuracaoCCA1A	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA1A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoCCA1B	CCA	0	0.0	CuracaoCCA1B	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA1B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoCCA1C	CCA	0	0.0	CuracaoCCA1C	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	red algae	CuracaoCCA1C	2763	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	1	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoCCA2A	CCA	0	0.0	CuracaoCCA2A	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA2A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoCCA2B	CCA	0	0.0	CuracaoCCA2B	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA2B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoCCA2C	CCA	0	0.0	CuracaoCCA2C	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	red algae	CuracaoCCA2C	2763	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	2	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoCCA3C	CCA	0	0.0	CuracaoCCA3C	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	red algae	CuracaoCCA3C	2763	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	3	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoCCA4A	CCA	0	0.0	CuracaoCCA4A	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA4A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	4	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoCCA4B	CCA	0	0.0	CuracaoCCA4B	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA4B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	4	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoCCA4C	CCA	0	0.0	CuracaoCCA4C	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	red algae	CuracaoCCA4C	2763	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	4	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoCCA5B	CCA	0	0.0	CuracaoCCA5B	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoCCA5B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	5	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoCCA5C	CCA	0	0.0	CuracaoCCA5C	2011-10-05	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	red algae	CuracaoCCA5C	2763	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	5	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoHypoxia1		0	0.0	CuracaoHypoxia1	2011-09-29	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoHypoxia1	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Aquarium 24 hr	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoHypoxia2		0	0.0	CuracaoHypoxia2	2011-09-29	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoHypoxia2	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Aquarium 24 hr	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoHypoxia3		0	0.0	CuracaoHypoxia3	2011-09-29	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoHypoxia3	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Aquarium 24 hr	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoHypoxia4		0	0.0	CuracaoHypoxia4	2011-09-29	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoHypoxia4	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Hypoxia 24 hr	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoHypoxia5		0	0.0	CuracaoHypoxia5	2011-09-29	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoHypoxia5	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Hypoxia 24 hr	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoHypoxia6		0	0.0	CuracaoHypoxia6	2011-09-29	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoHypoxia6	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	Hypoxia 24 hr	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoTurf1A	Turf	0	0.0	CuracaoTurf1A	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf1A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoTurf1B	Turf	0	0.0	CuracaoTurf1B	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf1B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	1	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoTurf1C	Turf	0	0.0	CuracaoTurf1C	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	brown algae	CuracaoTurf1C	2870	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	1	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoTurf2A	Turf	0	0.0	CuracaoTurf2A	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf2A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoTurf2B	Turf	0	0.0	CuracaoTurf2B	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf2B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	2	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoTurf2C	Turf	0	0.0	CuracaoTurf2C	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	brown algae	CuracaoTurf2C	2870	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	2	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoTurf3B	Turf	0	0.0	CuracaoTurf3B	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf3B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	3	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoTurf3C	Turf	0	0.0	CuracaoTurf3C	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	brown algae	CuracaoTurf3C	2870	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	3	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoTurf4A	Turf	0	0.0	CuracaoTurf4A	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf4A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	4	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoTurf4B	Turf	0	0.0	CuracaoTurf4B	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf4B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	4	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
910.CuracaoTurf4C	Turf	0	0.0	CuracaoTurf4C	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Algal tissue	True	0	0	True	EMP sample	Host-associated	Plant	Plant corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	brown algae	CuracaoTurf4C	2870	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Plant	Plant corpus	910	4	coral metagenome	496922	Algal	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	C
910.CuracaoTurf5A	Turf	0	0.0	CuracaoTurf5A	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf5A	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	5	coral metagenome	496922	Coral	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	A
910.CuracaoTurf5B	Turf	0	0.0	CuracaoTurf5B	2011-10-04	Montastraea annularis	GAZ:Curacao Island	10	10	Coral-algal interface tissue	True	0	0	True	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	coral reef	organic material	host-associated	biome	aquatic biome	marine biome	marine benthic biome	marine reef biome	marine coral reef biome	False	Curacao Island	boulder star coral	CuracaoTurf5B	48500	Curacao	12.10975	12.10975	-68.95636	-68.95636	None	SDSU	ANL	True	True	Host-associated	Animal	Animal corpus	910	5	coral metagenome	496922	Coral-algal interface	coral metagenome	Water Factory	Viral communities associated with algal/coral interactions	B
