sample_name	adult	altitude_m	anonymized_name	body_habitat	body_product	body_site	clean_bat_bag	collection_timestamp	country	depth	depth_m	description	diet	diet_description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	health_status	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	overnight_bat_bag	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	site	title
1734.BD.ERD511		0.0	BD.ERD511	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.ERD511	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	elegant Myotis	f__Vespertilionidae	g__Myotis	k__Metazoa	o__Chiroptera	p__Chordata	Myotis elegans	s__Myotis_elegans	ERD511	sk__Eukaryota	258937	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome		Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1051	adult	0.0	BD.NBS1051	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.NBS1051	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Parnell's mustached bat	f__Mormoopidae	g__Pteronotus	k__Metazoa	o__Chiroptera	p__Chordata	Pteronotus parnellii	s__Pteronotus_parnellii	NBS1051	sk__Eukaryota	59476	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	male	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1052	adult	0.0	BD.NBS1052	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.NBS1052	Omnivore	Nectivore Nectar insects fruit	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Pallas's long-tongued bat	f__Phyllostomidae	g__Glossophaga	k__Metazoa	o__Chiroptera	p__Chordata	Glossophaga soricina	s__Glossophaga_soricina	NBS1052	sk__Eukaryota	27638	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	male	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1054	adult	0.0	BD.NBS1054	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.NBS1054	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable	pregnant	c__Mammalia	Not applicable	f__Phyllostomidae	g__Micronycteris	k__Metazoa	o__Chiroptera	p__Chordata	Micronycteris microtis	s__Micronycteris_microtis	NBS1054	sk__Eukaryota	249008	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	female	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1055	adult	0.0	BD.NBS1055	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.NBS1055	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Davy's naked-backed bat	f__Mormoopidae	g__Pteronotus	k__Metazoa	o__Chiroptera	p__Chordata	Pteronotus davyi	s__Pteronotus_davyi	NBS1055	sk__Eukaryota	94956	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	male	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1059	adult	0.0	BD.NBS1059	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.NBS1059	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Davis's round-eared bat	f__Phyllostomidae	g__Lophostoma	k__Metazoa	o__Chiroptera	p__Chordata	Lophostoma evotis	s__Lophostoma_evotis	NBS1059	sk__Eukaryota	574022	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	female	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1062	adult	0.0	BD.NBS1062	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-25	GAZ:Belize	0	0	BD.NBS1062	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable	with embryo	c__Mammalia	greater dog-like bat	f__Emballonuridae	g__Peropteryx	k__Metazoa	o__Chiroptera	p__Chordata	Peropteryx kappleri	s__Peropteryx_kappleri	NBS1062	sk__Eukaryota	249014	17.746	17.746	-88.065	-88.065	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	female	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1073	adult	0.0	BD.NBS1073	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-27	GAZ:Belize	0	0	BD.NBS1073	Carnivore	Insectivore Insects	true	84.0	84.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Davy's naked-backed bat	f__Mormoopidae	g__Pteronotus	k__Metazoa	o__Chiroptera	p__Chordata	Pteronotus davyi	s__Pteronotus_davyi	NBS1073	sk__Eukaryota	94956	17.81	17.81	-88.725	-88.725	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	female	Kakabiche	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1076	adult	0.0	BD.NBS1076	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-27	GAZ:Belize	0	0	BD.NBS1076	Carnivore	Piscivore fish	true		0.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable	pregnant	c__Mammalia	greater bulldog bat	f__Noctilionidae	g__Noctilio	k__Metazoa	o__Chiroptera	p__Chordata	Noctilio leporinus	s__Noctilio_leporinus	NBS1076	sk__Eukaryota	94963		Not applicable		Not applicable	bat in bag overnight	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	female	Irish Creek	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BD.NBS1086	adult	0.0	BD.NBS1086	UBERON:feces	UBERON:feces	UBERON:feces		2012-04-28	GAZ:Belize	0	0	BD.NBS1086	Carnivore	Insectivore Insects	true	36.0	36.0	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	Not applicable		c__Mammalia	Van Gelder's bat	f__Vespertilionidae	g__Antrozous	k__Metazoa	o__Chiroptera	p__Chordata	Antrozous dubiaquercus	s__Antrozous_dubiaquercus	NBS1086	sk__Eukaryota	249033	17.746	17.746	-88.065	-88.065	no, hours after	CCME	true	true	Host-associated	Animal	Animal distal gut	1734	gut metagenome	749906	pellet	bat metagenome	male	Lamanai	Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.1		0.0	BLANK.1					Not applicable	GAZ:United States of America	0	0	BLANK.1			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.1	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true	Control	Negative	Sterile water blank	1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.10		0.0	BLANK.10					Not applicable	GAZ:United States of America	0	0	BLANK.10			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.10	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.11		0.0	BLANK.11					Not applicable	GAZ:United States of America	0	0	BLANK.11			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.11	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true	Control	Negative	Sterile water blank	1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.12		0.0	BLANK.12					Not applicable	GAZ:United States of America	0	0	BLANK.12			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.12	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.13		0.0	BLANK.13					Not applicable	GAZ:United States of America	0	0	BLANK.13			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.13	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.14		0.0	BLANK.14					Not applicable	GAZ:United States of America	0	0	BLANK.14			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.14	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.15		0.0	BLANK.15					Not applicable	GAZ:United States of America	0	0	BLANK.15			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.15	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.16		0.0	BLANK.16					Not applicable	GAZ:United States of America	0	0	BLANK.16			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.16	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.17		0.0	BLANK.17					Not applicable	GAZ:United States of America	0	0	BLANK.17			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.17	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.18		0.0	BLANK.18					Not applicable	GAZ:United States of America	0	0	BLANK.18			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.18	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true	Control	Negative	Sterile water blank	1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.19		0.0	BLANK.19					Not applicable	GAZ:United States of America	0	0	BLANK.19			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.19	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.2		0.0	BLANK.2					Not applicable	GAZ:United States of America	0	0	BLANK.2			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.2	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.20		0.0	BLANK.20					Not applicable	GAZ:United States of America	0	0	BLANK.20			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.20	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.21		0.0	BLANK.21					Not applicable	GAZ:United States of America	0	0	BLANK.21			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.21	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.22		0.0	BLANK.22					Not applicable	GAZ:United States of America	0	0	BLANK.22			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.22	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.23		0.0	BLANK.23					Not applicable	GAZ:United States of America	0	0	BLANK.23			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.23	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
1734.BLANK.3		0.0	BLANK.3					Not applicable	GAZ:United States of America	0	0	BLANK.3			true	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	BLANK.3	Not applicable	Not applicable	40.01	40.01	-105.27	-105.27		CCME	true	true				1734	metagenomes	408169		metagenome			Gut microbiota of phyllostomid bats that span a breadth of diets
