sample_name	agrochem_addition	altitude_m	annual_season_precpt	annual_season_temp	anonymized_name	area	area_2	c_n_ratio	carbon_perc	clone	cm_to_stem	collection_timestamp	country	cur_land_use	depth	depth_m	description	dna_extracted	drainage_class	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_subject_id	latitude	latitude_deg	longitude	longitude_deg	nitrogen_perc	orig_sample_name	perc_moisture	ph	ph_meth	physical_location_2	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	samp_weight_dna_ext	sample_scientific_name	sample_taxid	sample_type	scientific_name	soil_series	soil_type	store_cond	taxon_id	temperature	title	vineyard
2382.DPOO1.C1.HA.2.27.root.6.11.lane1.NoIndex.L001.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2011-06-22	GAZ:United States of America	crop cover	Not applicable	Not applicable	Roots	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.0254	41.0254	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.2.27	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.22	root metagenome	1118232	roots	root metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1118232	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.432.rhizo.4.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-04-12	GAZ:United States of America	crop cover	Not applicable	Not applicable	Rhizosphere	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	rhizosphere	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.02534	41.02534	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.2.432	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.24	rhizosphere metagenome	939928	rhizosphere	rhizosphere metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	939928	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.433.root.4.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-04-12	GAZ:United States of America	crop cover	Not applicable	Not applicable	Roots	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.02534	41.02534	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.2.433	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.22	root metagenome	1118232	roots	root metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1118232	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.631.bulk.9.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS1	Cutchogue	DP001	12.4445	1.307	clone_1	19.8	2012-09-25	GAZ:United States of America	crop cover	0.05-0.07	Not applicable	Bulk_soil	TRUE	well	6	6	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	vineyard	bulk soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS1	41.02525	41.02525	-72.46158	-72.46158	0.105	DPOO1.C1.HA.2.631	0.16	6.71	2:5 soil-water	ANL	ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	2382	0.24	soil metagenome	410658	soil	soil metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	410658	18.28	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.632.rhizo.9.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS1	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-09-25	GAZ:United States of America	crop cover	Not applicable	Not applicable	Rhizosphere	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	rhizosphere	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS1	41.02525	41.02525	-72.46158	-72.46158	Missing: Not provided	DPOO1.C1.HA.2.632	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.24	rhizosphere metagenome	939928	rhizosphere	rhizosphere metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	939928	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.633.root.9.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS1	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-09-25	GAZ:United States of America	crop cover	Not applicable	Not applicable	Roots	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS1	41.02525	41.02525	-72.46158	-72.46158	Missing: Not provided	DPOO1.C1.HA.2.633	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.22	root metagenome	1118232	roots	root metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1118232	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.634.leav.9.12.lane8.NoIndex.L008.sequences	herbicide	0.0	4.17	55.33	HS7	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-09-25	GAZ:United States of America	crop cover	Not applicable	Not applicable	Leaves	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant corpus	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS7	41.02525	41.02525	-72.46158	-72.46158	Missing: Not provided	DPOO1.C1.HA.2.634	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant corpus	2382	0.04	soil metagenome	410658	leaves	plant metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1297885	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.2.635.gp.9.12.lane8.NoIndex.L008.sequences	herbicide	0.0	4.17	55.33	HS7	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-09-25	GAZ:United States of America	crop cover	Not applicable	Not applicable	Grapes	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant corpus	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS7	41.02525	41.02525	-72.46158	-72.46158	Missing: Not provided	DPOO1.C1.HA.2.635	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant corpus	2382	0.22	soil metagenome	410658	grapes	plant metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1297885	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.238.root.9.11.lane1.NoIndex.L001.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2011-09-14	GAZ:United States of America	crop cover	Not applicable	Not applicable	Roots	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.02541	41.02541	-72.46185	-72.46185	Missing: Not provided	DPOO1.C1.HA.3.238	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.22	root metagenome	1118232	roots	root metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1118232	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.31.root.6.11.lane1.NoIndex.L001.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2011-06-22	GAZ:United States of America	crop cover	Not applicable	Not applicable	Roots	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.02543	41.02543	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.3.31	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.22	root metagenome	1118232	roots	root metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1118232	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.32.r1.leav.6.11.lane8.NoIndex.L008.sequences	herbicide	0.0	4.17	55.33	HS9	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2011-06-22	GAZ:United States of America	crop cover	Not applicable	Not applicable	Leaves	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant corpus	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS9	41.02543	41.02543	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.3.32	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant corpus	2382	0.04	soil metagenome	410658	leaves	plant metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1297885	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.436.r1.bulk.4.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS11	Cutchogue	DP001	13.6501	1.027	clone_1	10	2012-04-12	GAZ:United States of America	crop cover	0.05-0.07	Not applicable	Bulk_soil	TRUE	well	6	6	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	vineyard	bulk soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS11	41.02534	41.02534	-72.46171	-72.46171	0.075	DPOO1.C1.HA.3.436	0.18	6.99	2:5 soil-water	ANL	ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	2382	0.24	soil metagenome	410658	soil	soil metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	410658	12.98	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.437.rhizo.4.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS1	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-04-12	GAZ:United States of America	crop cover	Not applicable	Not applicable	Rhizosphere	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	rhizosphere	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS1	41.02534	41.02534	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.3.437	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.24	rhizosphere metagenome	939928	rhizosphere	rhizosphere metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	939928	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.437.rhizo.4.12.r1.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-04-12	GAZ:United States of America	crop cover	Not applicable	Not applicable	Rhizosphere	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	rhizosphere	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.02534	41.02534	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.3.437..r1	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.24	rhizosphere metagenome	939928	rhizosphere	rhizosphere metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	939928	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.438.root.4.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS10	Cutchogue	DP001	Not applicable	Not applicable	clone_1	Not applicable	2012-04-12	GAZ:United States of America	crop cover	Not applicable	Not applicable	Roots	TRUE	well	6	6	True	EMP sample	Host-associated	Plant	Plant rhizosphere	cropland biome	vineyard	organic material	plant-associated	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS10	41.02534	41.02534	-72.46171	-72.46171	Missing: Not provided	DPOO1.C1.HA.3.438	Missing: Not provided	Not applicable	Missing: Not applicable	ANL	ANL	TRUE	TRUE	Host-associated	Plant	Plant rhizosphere	2382	0.22	root metagenome	1118232	roots	root metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	1118232	Missing: Not collected	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
2382.DPOO1.C1.HA.3.636.bulk.9.12.lane7.NoIndex.L007.sequences	herbicide	0.0	4.17	55.33	HS1	Cutchogue	DP001	12.9174	1.28	clone_1	19	2012-09-25	GAZ:United States of America	crop cover	0.05-0.07	Not applicable	Bulk_soil	TRUE	well	6	6	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	vineyard	bulk soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	USA:NY	HS1	41.02525	41.02525	-72.46158	-72.46158	0.099	DPOO1.C1.HA.3.636	0.18	6.88	2:5 soil-water	ANL	ANL	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	2382	0.24	soil metagenome	410658	soil	soil metagenome	Haven	Coarse-loamy_over_sandy_or_sandy-skeletal.mixed.active.mesic_Typic_Dystrudepts	-80	410658	18.06	The Soil Microbiome Influences Grapevine-Associated Microbiota	Dick_Pfeifel
