sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title
940.Blank11	0	0.0	Blank11	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank11	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank11	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank12	0	0.0	Blank12	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank12	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank12	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank13	0	0.0	Blank13	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank13	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank13	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank14	0	0.0	Blank14	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank14	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank14	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank15	0	0.0	Blank15	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank15	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank15	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank16	0	0.0	Blank16	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank16	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank16	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank17	0	0.0	Blank17	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank17	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank17	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank18	0	0.0	Blank18	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank18	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank18	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank19	0	0.0	Blank19	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank19	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank19	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank20	0	0.0	Blank20	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank20	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank20	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank21	0	0.0	Blank21	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank21	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank21	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank22	0	0.0	Blank22	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank22	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank22	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank23	0	0.0	Blank23	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank23	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank23	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank24	0	0.0	Blank24	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank24	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank24	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank25	0	0.0	Blank25	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank25	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank25	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank26	0	0.0	Blank26	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank26	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank26	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank27	0	0.0	Blank27	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank27	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank27	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank28	0	0.0	Blank28	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank28	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank28	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank29	0	0.0	Blank29	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank29	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank29	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True	Control	Negative	Sterile water blank	940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank30	0	0.0	Blank30	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank30	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank30	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.Blank31	0	0.0	Blank31	Not applicable	Not applicable	Not applicable	2011-10-07	GAZ:United States of America	0	0	Blank31	True	1656.0616	1656.0616	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	USA:CO	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Blank31	Not applicable	Not applicable	40.05	40.05	Not applicable	-105.27	-105.27	UCSDMI	True	True				940	metagenomes	408169	control blank	metagenome	SongColoradoFish
940.CARP.10.Fecal	0	0.0	CARP.10.Fecal	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-07	GAZ:United States of America	0	0	CARP.10.Fecal fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal distal gut	freshwater biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	common carp	f__Cyprinidae	g__Cyprinus	k__Metazoa	o__Cypriniformes	p__Chordata	Cyprinus carpio	s__Cyprinus_carpio	CARP.10	sk__Eukaryota	7962	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal distal gut	940	fish metagenome	496924	stool	fish gut metagenome	SongColoradoFish
940.CARP.25.Fecal	0	0.0	CARP.25.Fecal	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-07	GAZ:United States of America	0	0	CARP.25.Fecal fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal distal gut	freshwater biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	common carp	f__Cyprinidae	g__Cyprinus	k__Metazoa	o__Cypriniformes	p__Chordata	Cyprinus carpio	s__Cyprinus_carpio	CARP.25	sk__Eukaryota	7962	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal distal gut	940	fish metagenome	496924	stool	fish gut metagenome	SongColoradoFish
940.CARP.28.Fecal	0	0.0	CARP.28.Fecal	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-07	GAZ:United States of America	0	0	CARP.28.Fecal fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal distal gut	freshwater biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	common carp	f__Cyprinidae	g__Cyprinus	k__Metazoa	o__Cypriniformes	p__Chordata	Cyprinus carpio	s__Cyprinus_carpio	CARP.28	sk__Eukaryota	7962	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal distal gut	940	fish metagenome	496924	stool	fish gut metagenome	SongColoradoFish
940.CARP.30.Fecal	0	0.0	CARP.30.Fecal	UBERON:feces	UBERON:feces	UBERON:feces	2011-10-07	GAZ:United States of America	0	0	CARP.30.Fecal fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal distal gut	freshwater biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	common carp	f__Cyprinidae	g__Cyprinus	k__Metazoa	o__Cypriniformes	p__Chordata	Cyprinus carpio	s__Cyprinus_carpio	CARP.30	sk__Eukaryota	7962	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True				940	fish metagenome	496924	stool	fish gut metagenome	SongColoradoFish
940.CR.01.Ventral	0	0.0	CR.01.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.01.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.01	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
940.CR.02.Ventral	0	0.0	CR.02.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.02.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.02	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
940.CR.03.Ventral	0	0.0	CR.03.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.03.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.03	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
940.CR.04.Ventral	0	0.0	CR.04.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.04.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.04	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
940.CR.05.Ventral	0	0.0	CR.05.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.05.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.05	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
940.CR.06.Ventral	0	0.0	CR.06.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.06.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.06	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
940.CR.07.Ventral	0	0.0	CR.07.Ventral	UBERON:skin	UBERON:mucus	UBERON:skin	2011-10-07	GAZ:United States of America	0	0	CR.07.Ventral fish metagenome	True	1427.1875	1427.1875	True	EMP sample	Host-associated	Animal	Animal surface	freshwater biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	freshwater biome	Not applicable	Not applicable	Not applicable	USA:CO	c__Actinopteri	Not applicable	f__Catostomidae	g__Catostomus	k__Metazoa	o__Cypriniformes	p__Chordata	Catostomus	s__	CR.07	sk__Eukaryota	7969	39.1	39.1	adult	-108.36	-108.36	UCSDMI	True	True	Host-associated	Animal	Animal surface	940	fish metagenome	496924	mucus	fish metagenome	SongColoradoFish
