sample_name	altitude_m	anonymized_name	barcode_number	body_habitat	body_product	body_site	collection_timestamp	country	depth_m	description	diet	diet_description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	genus	geo_loc_name	gut_physiology	host_class	host_common_name	host_family	host_genus	host_kingdom	host_major_clade	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	species	title	wild_captive
1056.Cho.hof.Hous.1	0.0	sloth.7562	P2_E2	UBERON:feces	UBERON:feces	UBERON:feces	2012-01-04	GAZ:United States of America	0	fecal sample from Hoffmann's two-toed sloth	Folivore	tree leaves	TRUE	14.93	14.93	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Choloepus	United States of America	Foregut	c__Mammalia	Hoffmann's two-fingered sloth	f__Megalonychidae	g__Choloepus	k__Metazoa	Xenarthra	o__Pilosa	p__Chordata	Choloepus hoffmanni	s__Choloepus_hoffmanni	1056:sloth.7562	sk__Eukaryota	9358	29.76	29.76	adult	-95.369	-95.369	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	Missing: Not collected	hoffmanni	Comparison of microbial flora in ant-eating mammals	captive
1056.Das.nov.Flor.1	0.0	Das.nov.Flor.MRI001	P1_D8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:Das.nov.Flor.MRI001	sk__Eukaryota	9361	28.517	28.517	adult	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flor.2	0.0	Das.nov.Flor.MRI002	P1_E8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:Das.nov.Flor.MRI002	sk__Eukaryota	9361	28.517	28.517	adult	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flor.3	0.0	Das.nov.Flor.MRI003	P1_F8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:Das.nov.Flor.MRI003	sk__Eukaryota	9361	28.517	28.517	juvenile	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flor.4	0.0	Das.nov.Flor.MRI004	P1_G8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:Das.nov.Flor.MRI004	sk__Eukaryota	9361	28.517	28.517	adult	-80.667	-80.667	CCME	TRUE	TRUE				1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flor.5	0.0	Das.nov.Flor.MRI005	P1_H8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:Das.nov.Flor.MRI005	sk__Eukaryota	9361	28.517	28.517	juvenile	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.1	0.0	MRI001	P2_D7	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI001	sk__Eukaryota	9361	28.517	28.517	adult	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.10	0.0	MRI010	P2_E8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI010	sk__Eukaryota	9361	28.517	28.517	juvenile	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.2	0.0	MRI002	P2_E7	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI002	sk__Eukaryota	9361	28.517	28.517	adult	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.3	0.0	MRI003	P2_F7	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI003	sk__Eukaryota	9361	28.517	28.517	juvenile	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.7	0.0	MRI007	P2_B8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI007	sk__Eukaryota	9361	28.517	28.517	juvenile	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.8	0.0	MRI008	P2_C8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI008	sk__Eukaryota	9361	28.517	28.517	juvenile	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Das.nov.Flori.9	0.0	MRI009	P2_D8	UBERON:feces	UBERON:feces	UBERON:feces	2012-03-10	GAZ:United States of America	0	fecal sample from Nine-banded armadillo	Insectivore	ants, insects, soil invertebrates	TRUE	3	3.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Dasypus	United States of America	Simple	c__Mammalia	nine-banded armadillo	f__Dasypodidae	g__Dasypus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Dasypus novemcinctus	s__Dasypus_novemcinctus	1056:MRI009	sk__Eukaryota	9361	28.517	28.517	adult	-80.667	-80.667	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	novemcinctus	Comparison of microbial flora in ant-eating mammals	wild
1056.Eup.sex.Cinci.1	0.0	Eup.sex.Cinci18.1.1	P1_A8	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-17	GAZ:United States of America	0	fecal sample from Six-banded armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	482	482.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Euphractus	United States of America	Simple	c__Mammalia	Not applicable	f__Chlamyphoridae	g__Euphractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Euphractus sexcinctus	s__Euphractus_sexcinctus	1056:Eup.sex.Cinci18.1.1	sk__Eukaryota	143300	39.167	39.167	adult	-84.5	-84.5	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	sexcinctus	Comparison of microbial flora in ant-eating mammals	captive
1056.Eup.sex.Cinci.1.1	0.0	Eup.sex.Cinci17.1	P1_H7	UBERON:feces	UBERON:feces	UBERON:feces	2012-08-17	GAZ:United States of America	0	fecal sample from Six-banded armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	482	482.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Euphractus	United States of America	Simple	c__Mammalia	Not applicable	f__Chlamyphoridae	g__Euphractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Euphractus sexcinctus	s__Euphractus_sexcinctus	1056:Eup.sex.Cinci17.1	sk__Eukaryota	143300	39.167	39.167	adult	-84.5	-84.5	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	male	sexcinctus	Comparison of microbial flora in ant-eating mammals	captive
1056.Eup.sex.Mont.1.0	0.0	Eup.sex.Mont.1.0	P1_D2	UBERON:feces	UBERON:feces	UBERON:feces	2012-05-10	GAZ:France	0	fecal sample from Six-banded armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	89	89.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Euphractus	France	Simple	c__Mammalia	Not applicable	f__Chlamyphoridae	g__Euphractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Euphractus sexcinctus	s__Euphractus_sexcinctus	1056:Eup.sex.Mont.1.0	sk__Eukaryota	143300	43.6	43.6	adult	3.883	3.883	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	sexcinctus	Comparison of microbial flora in ant-eating mammals	captive
1056.Eup.sex.Mont.1.1	0.0	Eup.sex.Mont.1.1	P1_E2	UBERON:feces	UBERON:feces	UBERON:feces	2012-05-10	GAZ:France	0	fecal sample from Six-banded armadillo	Omnivore	plant material, insects, arachnids and vertebrates	TRUE	89	89.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Euphractus	France	Simple	c__Mammalia	Not applicable	f__Chlamyphoridae	g__Euphractus	k__Metazoa	Xenarthra	o__Cingulata	p__Chordata	Euphractus sexcinctus	s__Euphractus_sexcinctus	1056:Eup.sex.Mont.1.1	sk__Eukaryota	143300	43.6	43.6	adult	3.883	3.883	CCME	TRUE	TRUE	Host-associated	Animal	Animal distal gut	1056	gut metagenome	749906	stool	gut metagenome	female	sexcinctus	Comparison of microbial flora in ant-eating mammals	captive
1056.Man.pen.Leip.1	0.0	Man.pen.Leip.1	P1_B2	UBERON:feces	UBERON:feces	UBERON:feces	2012-07-04	GAZ:Germany	0	fecal sample from Chinese pangolin	Myrmecophage	strict ant and termite eater (>95%)	TRUE	361	361.0	True	EMP sample	Host-associated	Animal	Animal distal gut	terrestrial biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	Not applicable	Not applicable	Not applicable	Not applicable	Manis	Germany	Simple	c__Mammalia	Chinese pangolin	f__Manidae	g__Manis	k__Metazoa	Laurasiatheria	o__Pholidota	p__Chordata	Manis pentadactyla	s__Manis_pentadactyla	1056:Man.pen.Leip.1	sk__Eukaryota	143292	51.333	51.333	adult	12.417	12.417	CCME	TRUE	TRUE				1056	gut metagenome	749906	stool	gut metagenome	female	pentadactyla	Comparison of microbial flora in ant-eating mammals	captive
