sample_name	altitude	altitude_m	anonymized_name	collection_timestamp	country	cultivar	daily_high	daily_low	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	growth_data	growth_stage	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	perturbation	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	weather_conditions	weekly_ave_high	weekly_ave_low
1642.MS00005	0	0.0	MS00005	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00005	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00005	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00006	0	0.0	MS00006	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00006	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00006	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00007	0	0.0	MS00007	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00007	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00007	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00008	0	0.0	MS00008	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00008	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00008	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00009	0	0.0	MS00009	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00009	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00009	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00010	0	0.0	MS00010	2011-06-06	GAZ:Japan	Missing: Not provided	19	19	0	Not applicable	Bulk soil unknown MS00010	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	MS00010	Not applicable	Not applicable	35.117	35.117	138.937	138.937	sample taken 1 day after flooding	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	sunny	23	19
1642.MS00011	0	0.0	MS00011	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil unknown MS00011	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00011	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00012	0	0.0	MS00012	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00012	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00012	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00013	0	0.0	MS00013	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00013	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00013	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00014	0	0.0	MS00014	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00014	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00014	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00015	0	0.0	MS00015	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00015	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00015	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00016	0	0.0	MS00016	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00016	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00016	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00017	0	0.0	MS00017	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00017	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00017	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00018	0	0.0	MS00018	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00018	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00018	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00019	0	0.0	MS00019	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00019	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00019	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00020	0	0.0	MS00020	2011-06-16	GAZ:Japan	Nipponbare	21	18	0	Not applicable	Bulk soil Nipponbare MS00020	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	3 to 4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00020	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00021	0	0.0	MS00021	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil Nipponbare MS00021	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00021	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00022	0	0.0	MS00022	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil 93-11 MS00022	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00022	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00023	0	0.0	MS00023	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil 93-11 MS00023	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00023	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00024	0	0.0	MS00024	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil 93-11 MS00024	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00024	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00025	0	0.0	MS00025	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil 93-11 MS00025	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00025	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00026	0	0.0	MS00026	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil 93-11 MS00026	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00026	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
1642.MS00027	0	0.0	MS00027	2011-06-16	GAZ:Japan	93-11	21	18	0	Not applicable	Bulk soil 93-11 MS00027	TRUE	60	60.0	True	EMP sample	Free-living	Non-saline	Soil (non-saline)	cropland biome	alluvial paddy field soil	soil	soil	biome	terrestrial biome	anthropogenic terrestrial biome	cropland biome	Not applicable	Not applicable	Japan	4 leaf	vegetative	c__Liliopsida	rice	f__Poaceae	g__Oryza	k__Viridiplantae	o__Poales	p__Streptophyta	Oryza sativa	s__Oryza_sativa	MS00027	sk__Eukaryota	4530	35.117	35.117	138.937	138.937	Not applicable	UCSDMI	TRUE	TRUE	Free-living	Non-saline	Soil (non-saline)	1642	soil metagenome	410658	soil	soil metagenome	Microbial community of the bulk soil and rhizosphere of rice plants over its lifecycle	rain	21	19
