sample_name	altitude	altitude_m	anonymized_name	bird_family	bird_order	body_habitat	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	habitat	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title
1773.Columb.passer1.crop	0	0.0	COP115	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2007-01-01	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp1	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer1.gizz	0	0.0	COP116	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2007-01-01	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp1	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer1.ugi	0	0.0	COP117	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2007-01-01	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp1	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer10.crop	0	0.0	COP171	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2008-02-02	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp10	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer10.gizz	0	0.0	COP172	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2008-02-02	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp10	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer10.lgi	0	0.0	COP174	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-02	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp10	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer10.ugi	0	0.0	COP173	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2008-02-02	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp10	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer2.crop	0	0.0	COP119	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-03-05	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp2	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer2.gizz	0	0.0	COP120	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-03-05	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp2	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer2.lgi	0	0.0	COP122	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-05	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp2	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer2.ugi	0	0.0	COP121	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-05	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp2	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome	male	Garcia_bird_gutmicrobiome
1773.Columb.passer3	0	0.0	COP128	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-07-07	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp3	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer3.crop	0	0.0	COP126	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-07-07	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp3	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True				1773	gut metagenome	749906	Crop	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer3.gizz.ugi	0	0.0	COP127	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-07-07	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp3	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer3.lgi	0	0.0	COP129	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-07-07	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp3	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer4	0	0.0	COP133	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-05	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp4	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer4.crop	0	0.0	COP130	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-03-05	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp4	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer4.gizz	0	0.0	COP131	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-03-05	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp4	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer4.ugi.lgi	0	0.0	COP132	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-05	GAZ:Venezuela	0	0	Upper intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp4	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Upper intestine	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer5.crop	0	0.0	COP134	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:crop	2009-03-02	GAZ:Venezuela	0	0	Crop Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp5	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Crop	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer5.gizz	0	0.0	COP135	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:gizzard	2009-03-02	GAZ:Venezuela	0	0	Gizzard Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal proximal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp5	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal proximal gut	1773	gut metagenome	749906	Gizzard	gut metagenome		Garcia_bird_gutmicrobiome
1773.Columb.passer5.lgi	0	0.0	COP137	Columbidae	Columbiformes	UBERON:gastrointestinal system	UBERON:tissue	UBERON:intestine	2009-03-02	GAZ:Venezuela	0	0	Lower intestine Columbina passerina	Granivorous	True	100	100	True	EMP sample	Host-associated	Animal	Animal distal gut	shrubland biome	animal-associated habitat	excreta	host-associated	biome	terrestrial biome	shrubland biome	Not applicable	Not applicable	Not applicable	True	arid scrub	c__Aves	common ground-dove	f__Columbidae	g__Columbina	k__Metazoa	o__Columbiformes	p__Chordata	Columbina passerina	s__Columbina_passerina	Cp5	sk__Eukaryota	111974	11.035278	11.035278	adult	63.845556	63.845556	ANL	True	True	Host-associated	Animal	Animal distal gut	1773	gut metagenome	749906	Lower intestine	gut metagenome		Garcia_bird_gutmicrobiome
