sample_name	altitude	altitude_m	anonymized_name	batid	body_habitat	body_product	body_site	cage	collection_date	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	escaped_during_trial	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	last_meal	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	reproductive_status	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	species	timepoint	title	tot_mass	treatment	type_sample	weight_g
2338.0623.1.I	0	0.0	0623.1.I	623.1	UBERON:feces	UBERON:feces	UBERON:feces	1	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.1	sk__Eukaryota	40233	banana	9.75	9.75	subadult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	male	Carollia perspicillata	Initial	Song_Whitehead_bats	21.5	none	Fecal	21.5
2338.0623.1.M	0	0.0	0623.1.M	623.1	UBERON:feces	UBERON:feces	UBERON:feces	1	2013-07-05 00:00:00	2013-07-05	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.1	sk__Eukaryota	40233	banana	9.75	9.75	subadult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	male	Carollia perspicillata	Middle	Song_Whitehead_bats	21.5	none	Fecal	21.5
2338.0623.2.I	0	0.0	0623.2.I	623.2	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.2	sk__Eukaryota	40233	banana	9.75	9.75	Missing: Not collected	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	Missing: Not collected	bat metagenome	1213622	stool	bat metagenome	Missing: Not provided	Carollia perspicillata	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0623.3.I	0	0.0	0623.3.I	623.3	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia castanea	s__Carollia_castanea	623.3	sk__Eukaryota	138696	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia castanea	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0623.4.E	0	0.0	0623.4.E	623.4	UBERON:feces	UBERON:feces	UBERON:feces	2	2013-07-23 00:00:00	2013-07-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.4	sk__Eukaryota	40233	banana	9.75	9.75	subadult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia perspicillata	End	Song_Whitehead_bats	16	piperine	Fecal	16
2338.0623.4.I	0	0.0	0623.4.I	623.4	UBERON:feces	UBERON:feces	UBERON:feces	2	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.4	sk__Eukaryota	40233	banana	9.75	9.75	subadult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia perspicillata	Initial	Song_Whitehead_bats	16	piperine	Fecal	16
2338.0623.4.M	0	0.0	0623.4.M	623.4	UBERON:feces	UBERON:feces	UBERON:feces	2	2013-07-05 00:00:00	2013-07-05	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.4	sk__Eukaryota	40233	banana	9.75	9.75	subadult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia perspicillata	Middle	Song_Whitehead_bats	16	piperine	Fecal	16
2338.0623.5.I	0	0.0	0623.5.I	623.5	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Vespertilionidae	g__Myotis	k__Metazoa	o__Chiroptera	p__Chordata	Myotis	s__	623.5	sk__Eukaryota	9434	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True				2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Myotis sp.	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0623.6.I	0	0.0	0623.6.I	623.6	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Phyllostomidae	g__Micronycteris	k__Metazoa	o__Chiroptera	p__Chordata	Micronycteris microtis	s__Micronycteris_microtis	623.6	sk__Eukaryota	249008	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Micronycteris microtis	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0623.7.I	0	0.0	0623.7.I	623.7	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Phyllostomidae	g__Artibeus	k__Metazoa	o__Chiroptera	p__Chordata	Artibeus intermedius	s__Artibeus_intermedius	623.7	sk__Eukaryota	51014	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True				2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	male	Artibeus intermedius	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0623.8.I	0	0.0	0623.8.I	623.8	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia sowelli	s__Carollia_sowelli	623.8	sk__Eukaryota	208969	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	male	Carollia sowelli	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0623.9.E	0	0.0	0623.9.E	623.9	UBERON:feces	UBERON:feces	UBERON:feces	1	2013-07-22 00:00:00	2013-07-22	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.9	sk__Eukaryota	40233	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia perspicillata	End	Song_Whitehead_bats	19	none	Fecal	19
2338.0623.9.I	0	0.0	0623.9.I	623.9	UBERON:feces	UBERON:feces	UBERON:feces	1	2013-06-23 00:00:00	2013-06-23	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.9	sk__Eukaryota	40233	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia perspicillata	Initial	Song_Whitehead_bats	19	none	Fecal	19
2338.0623.9.M	0	0.0	0623.9.M	623.9	UBERON:feces	UBERON:feces	UBERON:feces	1	2013-07-05 00:00:00	2013-07-05	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	623.9	sk__Eukaryota	40233	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia perspicillata	Middle	Song_Whitehead_bats	19	none	Fecal	19
2338.0624.1.I	0	0.0	0624.1.I	624.1	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-24 00:00:00	2013-06-24	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia sowelli	s__Carollia_sowelli	624.1	sk__Eukaryota	208969	banana	9.75	9.75	juvenile	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia sowelli	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0624.2.I	0	0.0	0624.2.I	624.2	UBERON:feces	UBERON:feces	UBERON:feces	Missing: Not provided	2013-06-24 00:00:00	2013-06-24	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	Missing: Not provided	True	Costa Rica	c__Mammalia	Not applicable	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia castanea	s__Carollia_castanea	624.2	sk__Eukaryota	138696	banana	9.75	9.75	adult	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	female	Carollia castanea	Initial	Song_Whitehead_bats		Missing: Not provided	Fecal	Missing: Not provided
2338.0624.3.E	0	0.0	0624.3.E	624.3	UBERON:feces	UBERON:feces	UBERON:feces	2	2013-07-22 00:00:00	2013-07-22	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	624.3	sk__Eukaryota	40233	banana	9.75	9.75	juvenile	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	male	Carollia perspicillata	End	Song_Whitehead_bats	19	piperine	Fecal	19
2338.0624.3.I	0	0.0	0624.3.I	624.3	UBERON:feces	UBERON:feces	UBERON:feces	2	2013-06-24 00:00:00	2013-06-24	GAZ:Costa Rica	0	0	bat fecal sample	frugivore	True	1403.74	1403.74	True	EMP sample	Host-associated	Animal	Animal distal gut	tropical moist broadleaf forest biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	forest biome	broadleaf forest biome	tropical broadleaf forest biome	tropical moist broadleaf forest biome	0	True	Costa Rica	c__Mammalia	Seba's short-tailed bat	f__Phyllostomidae	g__Carollia	k__Metazoa	o__Chiroptera	p__Chordata	Carollia perspicillata	s__Carollia_perspicillata	624.3	sk__Eukaryota	40233	banana	9.75	9.75	juvenile	-83.75	-83.75	CCME	True	True	Host-associated	Animal	Animal distal gut	2338	nonreproductive	bat metagenome	1213622	stool	bat metagenome	male	Carollia perspicillata	Initial	Song_Whitehead_bats	19	piperine	Fecal	19
