sample_name	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	depth_m	description	disease_stat	disease_status	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	title	wsg84
894.Arm1983.lane2.NoIndex.L002	0.0	Arm1983	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1983	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE				894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1984.lane2.NoIndex.L002	0.0	Arm1984	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1984	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1985.lane2.NoIndex.L002	0.0	Arm1985	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Sambar deer feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	Sambar	f__Cervidae	g__Rusa	k__Metazoa	o__	p__Chordata	Rusa unicolor	s__Rusa_unicolor	Arm1985	sk__Eukaryota	662561	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.Arm1986.lane2.NoIndex.L002	0.0	Arm1986	UBERON:feces	UBERON:feces	UBERON:feces	2011-06-03	GAZ:Australia	0	Kangaroo feces		None	TRUE	350.7403	350.7403	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	Arm1986	sk__Eukaryota	9322	-37.637472	-37.637472	145.859782	145.859782	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 399399m E 5833796m N
894.C1470.lane5.NoIndex.L005	0.0	C1470	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1470	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1471.lane5.NoIndex.L005	0.0	C1471	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1471	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1472.lane5.NoIndex.L005	0.0	C1472	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1472	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1473.lane5.NoIndex.L005	0.0	C1473	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1473	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1474.lane5.NoIndex.L005	0.0	C1474	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1474	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1475.lane5.NoIndex.L005	0.0	C1475	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1475	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1476.lane5.NoIndex.L005	0.0	C1476	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces	Cryptosporidium sp. EGK3 genotype	Cryptosporidium sp. EGK3 genotype	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1476	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1477.lane5.NoIndex.L005	0.0	C1477	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1477	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1478.lane5.NoIndex.L005	0.0	C1478	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1478	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1479.lane5.NoIndex.L005	0.0	C1479	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces	Cryptosporidium macropodum	Cryptosporidium macropodum	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1479	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1480.lane5.NoIndex.L005	0.0	C1480	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1480	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1481.lane5.NoIndex.L005	0.0	C1481	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1481	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1482.lane5.NoIndex.L005	0.0	C1482	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1482	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1483.lane5.NoIndex.L005	0.0	C1483	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1483	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1484.lane5.NoIndex.L005	0.0	C1484	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1484	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1485.lane5.NoIndex.L005	0.0	C1485	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1485	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1486.lane5.NoIndex.L005	0.0	C1486	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1486	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1487.lane5.NoIndex.L005	0.0	C1487	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1487	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
894.C1488.lane5.NoIndex.L005	0.0	C1488	UBERON:feces	UBERON:feces	UBERON:feces	2010-09-09	GAZ:Australia	0	Kangaroo feces		None	TRUE	204.3677	204.3677	True	EMP sample	Host-associated	Animal	Animal distal gut	Large river biome	animal-associated habitat	feces	host-associated	biome	aquatic biome	freshwater biome	freshwater river biome	Large river biome	Not applicable	Australia:Victoria	c__Mammalia	kangaroo	f__Macropodidae	g__Macropus	k__Metazoa	o__Diprotodontia	p__Chordata	Macropus sp.	s__Macropus_sp.	C1488	sk__Eukaryota	9322	-37.939848	-37.939848	145.412228	145.412228	University of Melbourne	FALSE	TRUE	Host-associated	Animal	Animal distal gut	894	gut metagenome	749906	stool	gut metagenome	Catchment_sources_of_microbes	UTM: 55H 360480m E 5799670m N
