sample_name	age	age_unit	age_units	animation_gradient	animation_trajectory	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	description	diet	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	gut_physiology	host_clade	host_common_name	host_family	host_order	host_scientific_name	host_subject_id	host_taxid	latitude	lifestage	longitude	physical_samp_avail_now	physical_specimen_location	physical_specimen_remaining	provenance	public	qiita_study_id	sample_location	sample_type	scientific_name	sex	taxon_id	title
626.Lion2	Missing: Not provided	years	years	0	NA	Lion2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Lion2	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	Lion	Felidae	Carnivora	Panthera leo	Lion2	9689	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Okapi1	Missing: Not provided	years	years	0	NA	Okapi1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Okapi1	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	Okapi	Giraffidae	Cetartiodactyla	Okapia johnstoni	Okapi1	86973	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Okapi2	Missing: Not provided	years	years	0	NA	Okapi2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Okapi2	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	Okapi	Giraffidae	Cetartiodactyla	Okapia johnstoni	Okapi2	86973	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Orang1	Missing: Not provided	years	years	0	NA	Orang1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Orang1	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Euarchontoglires	Sumatran orangutan	Hominidae	Primates	Pongo abelii	Orang1	9601	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.PolarBr2	Missing: Not provided	years	years	0	NA	PolarBr2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample PolarBr2	Carnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	Polar bear	Ursidae	Carnivora	Ursus maritimus	PolarBr2	29073	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.RTLemur	Missing: Not provided	years	years	0	NA	RTLemur	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample RTLemur	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Ring-tailed lemur	Lemuridae	Primates	Lemur catta	RTLemur	9447	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Rabbit	Missing: Not provided	years	years	0	NA	Rabbit	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Rabbit	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Euarchontoglires	European rabbit	Leporidae	Lagomorpha	Oryctolagus cuniculus	Rabbit	9986	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Saki	Missing: Not provided	years	years	0	NA	Saki	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Saki	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	White-faced saki	Pitheciidae	Primates	Pithecia pithecia	Saki	43777	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.SpecBr2	Missing: Not provided	years	years	0	NA	SpecBr2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample SpecBr2	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Laurasiatheria	Spectacled bear	Ursidae	Carnivora	Tremarctos ornatus	SpecBr2	9638	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.SpgbkW	Missing: Not provided	years	years	0	NA	SpgbkW	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample SpgbkW	Herbivore	TRUE	1348	Host-associated	Animal	Animal distal gut	temperate desert biome	animal-associated habitat	feces	host-associated	Namibia	Foregut	Laurasiatheria	Springbok	Bovidae	Cetartiodactyla	Antidorcas marsupialis	SpgbkW	59523	-117.151475	adult	18.49041	TRUE	CGS-GL	FALSE	Wild	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Squirrel	Missing: Not provided	years	years	0	NA	Squirrel	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Squirrel	Omnivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Simple	Euarchontoglires	Prevost's squirrel	Sciuridae	Rodentia	Callosciurus prevostii	Squirrel	64676	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.Urial2	Missing: Not provided	years	years	0	NA	Urial2	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample Urial2	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	Transcaspian Urial sheep	Bovidae	Cetartiodactyla	Ovis orientalis arkal	Urial2	59896	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.VWPig	Missing: Not provided	years	years	0	NA	VWPig	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample VWPig	Herbivore	TRUE	81	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Foregut	Laurasiatheria	Visayam warty pig	Suidae	Cetartiodactyla	Sus cebifons	VWPig	315377	32.736585	adult	-117.151475	TRUE	CGS-GL	FALSE	San Diego Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
626.ZebraSTL1	Missing: Not provided	years	years	0	NA	ZebraSTL1	UBERON:feces	UBERON:feces	UBERON:feces	2006	Stool sample ZebraSTL1	Herbivore	TRUE	152	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	USA	Hindgut	Laurasiatheria	Grevy's zebra	Equidae	Perissodactyla	Equus grevyi	ZebraSTL1	9792	38.633556	adult	-90.29137	TRUE	CGS-GL	FALSE	Saint Louis Zoo	TRUE	626	CGS-GL	stool	gut metagenome	Missing: Not provided	749906	Diet drives convergence in gut microbiome functions across mammalian phylogeny and within humans
