sample_name	age	age_range	age_unit	altitude_m	anonymized_name	body_habitat	body_product	body_site	body_site_common	collection_timestamp	country	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	orig_sample_name	phase	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	taxon_id	title	treatment_group
1799.108.SD.Pum15	19.5	18-21	days	0.0	SD_Pum2	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum15	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	108	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.109.SD.Pum16	19.5	18-21	days	0.0	SD_Pum3	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum16	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	109	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.11.N.SD7	19.5	18-21	days	0.0	N_SD7	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a non-sleep deprived fly	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	N_SD7	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	11	non-sleep deprived gut	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	non-sleep deprived
1799.110.SD.Pum17	19.5	18-21	days	0.0	SD_Pum4	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum17	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	110	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.111.SD.Pum18	19.5	18-21	days	0.0	SD_Pum5	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum18	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	111	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.112.SD.Pum19	19.5	18-21	days	0.0	SD_Pum6	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum19	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	112	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.113.SD.Pum20	19.5	18-21	days	0.0	SD_Pum7	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum20	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	113	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.114.SD.Pum21	19.5	18-21	days	0.0	SD_Pum8	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum21	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	114	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.115.SD.Pum22	19.5	18-21	days	0.0	SD_Pum9	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum22	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	115	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.116.SD.Pum23	19.5	18-21	days	0.0	SD_Pum10	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum23	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	116	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.117.SD.Pum24	19.5	18-21	days	0.0	SD_Pum11	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum24	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	117	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.118.SD.Pum25	19.5	18-21	days	0.0	SD_Pum12	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum25	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	118	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.119.SD.Pum26	19.5	18-21	days	0.0	SD_Pum13	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum26	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	119	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.12.N.SD8	19.5	18-21	days	0.0	N_SD8	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a non-sleep deprived fly	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	N_SD8	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	12	non-sleep deprived gut	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	non-sleep deprived
1799.120.SD.Pum27	19.5	18-21	days	0.0	SD_Pum14	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum27	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	120	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.121.SD.Pum28	19.5	18-21	days	0.0	SD_Pum15	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	2013-01-30	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum28	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	121	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.122SD.Pum16	19.5	18-21	days	0.0	SD_Pum16	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	Not applicable	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum16	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	122	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
1799.123SD.Pum17	19.5	18-21	days	0.0	SD_Pum17	UBERON:multi-cellular organism	UBERON:portion of organism substance	UBERON:multi-cellular organism	Gut	Not applicable	GAZ:Puerto Rico	0	Gut from a sleep deprived fly containing an RNAi construct for the pumilio gene	true	454.38	454.38	True	EMP sample	Host-associated	Animal	Animal corpus	urban biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	Commonwealth of Puerto Rico	c__Insecta	fruit fly	f__Drosophilidae	g__Drosophila	k__Metazoa	o__Diptera	p__Arthropoda	Drosophila melanogaster	s__Drosophila_melanogaster	SD_Pum17	sk__Eukaryota	7227	18.22	18.22	-66.59	-66.59	123	sleep deprived gut with rnai	UPR	true	true	Host-associated	Animal	Animal corpus	1799	gut metagenome	749906	fruit fly body	insect metagenome	female	1234904	Dominguez sleep deprived flies	sleep  deprived RNAi
